,actor id,actor name,character,gender,movie id,movie release year,title,age,place of birth
410,1922,Catherine Zeta-Jones,Velma Kelly,Female,1574,2002,Chicago,33,"Swansea, West Glamorgan, Wales, UK"
411,44052,John Ingle,Narrator,Male,25556,2002,The Land Before Time IX: Journey to the Big Water,74,"Tulsa, Oklahoma, U.S."
412,77667,Oksana Akinshina,Lilja,Female,12093,2002,Lilya 4-ever,15,"Leningrad, USSR (St. Petersburg, Russia)"
413,521,Michael J. Fox,Stuart Little (voice),Male,10996,2002,Stuart Little 2,41,"Edmonton, Alberta, Canada"
414,2405,Audrey Tautou,Angélique,Female,12112,2002,He Loves Me... He Loves Me Not,26,"Beaumont, Puy-de-Dôme, France"
415,8944,Jamie Lee Curtis,Laurie Strode,Female,11442,2002,Halloween: Resurrection,44,"Los Angeles, California, USA"
416,3136,Salma Hayek,Frida Kahlo,Female,1360,2002,Frida,36,"Coatzacoalcos, Veracruz, Mexico"
417,35742,Shah Rukh Khan,Devdas Mukherjee,Male,15917,2002,Devdas,37,"New Delhi, Delhi, India"
418,67318,Megumi Okina,Rika Nishina,Female,11838,2002,Ju-on: The Grudge,23,"Tokyo, Japan"
419,34982,Jeff Bennett,Tom (Voice),Male,14787,2002,Tom and Jerry: The Magic Ring,40,"Burbank, California, U.S."
420,231610,Parminder Nagra,Jesminder 'Jess' Kaur Bhamra,Female,455,2002,Bend It Like Beckham,27,Leicester - England - UK
421,43504,Holly Sampson,Katherine Phillips,Female,36930,2002,Staying on Top,29,"Prescott, Arizona, USA"
422,514,Jack Nicholson,Warren R. Schmidt,Male,2755,2002,About Schmidt,65,"Manhattan, New York, USA"
423,12898,Tim Allen,Scott Calvin / Santa Clause,Male,9021,2002,The Santa Clause 2,49,"Denver, Colorado, USA"
424,17772,Jesse Bradford,Zak Gibbs,Male,15028,2002,Clockstoppers,23,"Norwalk, Connecticut, United States"
425,15852,Ashley Judd,Claire Kubik,Female,11560,2002,High Crimes,34,"Granada Hills, California, USA "
426,67830,Veronica Taylor,Ash Ketchum,Female,33875,2002,Pokémon Heroes: Latios and Latias,24," New York City, New York"
427,2387,Patrick Stewart,Captain Jean-Luc Picard,Male,201,2002,Star Trek: Nemesis,62,"Mirfield, West Yorkshire, England, UK"
428,56778,Stuart Townsend,Lestat de Lioncourt,Male,11979,2002,Queen of the Damned,30,"Howth, County Dublin, Ireland"
429,13,Albert Brooks,Marlin (voice),Male,12,2003,Finding Nemo,56,"Beverly Hills, California, USA"
430,5139,Robert Englund,Freddy Krueger,Male,6466,2003,Freddy vs. Jason,56,"Glendale, California, USA"
431,13473,Barry Bostwick,Thunderbolt (voice),Male,13654,2003,101 Dalmatians II: Patch's London Adventure,58,"San Mateo, California, USA"
432,19506,James Arnold Taylor,Milo,Male,8965,2003,Atlantis: Milo's Return,34,
433,6365,Desmond Harrington,Chris Flynn,Male,9902,2003,Wrong Turn,27,"Savannah, Georgia, USA"
434,8783,Eric Bana,Bruce Banner / The Hulk,Male,1927,2003,Hulk,35,"Melbourne, Australia"
435,6736,Pamela Anderson,Becca,Female,4256,2003,Scary Movie 3,36,"Ladysmith, British Columbia, Canada"
436,738,Sean Connery,Allan Quatermain,Male,8698,2003,The League of Extraordinary Gentlemen,73,"Fountainbridge, Edinburgh, Scotland, UK"
437,13920,Mimi Rogers,Mrs. Dunne,Female,10152,2003,Dumb and Dumberer: When Harry Met Lloyd,47,"Coral Gables, Florida, U.S."
438,10860,Jessica Biel,Erin,Female,9373,2003,The Texas Chainsaw Massacre,21,"Ely, Minnesota, USA"
439,44079,Charlotte Rampling,Sarah Morton,Female,302,2003,Swimming Pool,57,"Sturmer, England, UK"
440,5247,John Fiedler,Piglet (voice),Male,13691,2003,Piglet's Big Movie,78,"Platteville, Wisconsin, USA"
441,81916,Tommy Wiseau,Johnny,Male,17473,2003,The Room,48,"Poznań, Poland"
442,879,Billy Bob Thornton,Willie Soke,Male,10147,2003,Bad Santa,48,"Hot Springs, Arkansas, USA"
443,1230,John Goodman,Baloo (voice),Male,14873,2003,The Jungle Book 2,51,"St. Louis, Missouri, USA"
444,328,Brittany Murphy,Molly Gunn,Female,14926,2003,Uptown Girls,26,"Atlanta, Georgia, USA"
445,6719,Ray Wise,"Jack Taggart, Sr.",Male,11351,2003,Jeepers Creepers 2,56,"Akron, Ohio, USA"
446,121732,Fabrizio Bentivoglio,Carlo Ristuccia,Female,38970,2003,"Remember Me, My Love",46,"Milan, Lombardy, Italy"
447,19866,Guillaume Canet,Julien,Male,8424,2003,Love Me If You Dare,30,"Boulogne Billancourt, France"
448,3291,Hugh Grant,The Prime Minister,Male,508,2003,Love Actually,43,"London, England, UK"
449,17303,Ali Larter,Clear Rivers,Female,9358,2003,Final Destination 2,27,"Cherry Hill, New Jersey, USA"
450,16927,Gérard Depardieu,Quentin,Male,7229,2003,Ruby & Quentin,55,"Châteauroux, Indre, France"
451,21742,Fabian Hinrichs,Lukas Eiserbeck,Male,48856,2003,Gun-shy,29,"Hamburg, Germany"
452,65838,Jeremy Sumpter,Peter Pan,Male,10601,2003,Peter Pan,14,"Monterey, California, USA"
453,66717,Anthony Wong,Inspector Wong Chi Shing,Male,11647,2003,Infernal Affairs II,42,Hong Kong
454,7918,Bud Luckey,Narrator,Male,13062,2003,Boundin',69,"Billings, Montana, USA"
455,9976,Henry Thomas,Jack,Male,9282,2003,11:14,32,"San Antonio, Texas, USA"
456,17522,Cécile de France,Marie,Female,10226,2003,High Tension,28,"Namur, Belgium"
457,67711,French Stewart,Inspector Gadget,Male,19766,2003,Inspector Gadget 2,39,"Albuquerque, New Mexico, USA"
458,1580,Daveigh Chase,Lilo (voice),Female,15567,2003,Stitch! The Movie,13,"Las Vegas, Nevada, USA"
459,5695,Sid Haig,Captain Spaulding,Male,2662,2003,House of 1000 Corpses,64,"Fresno, California, USA"
