,actor id,actor name,character,gender,movie id,title
776,75889,Michael Caton,Darryl Kerrigan,Male,13852,The Castle
777,54422,Tupac Amaru Shakur,Ezekiel 'Spoon' Whitmore,Male,12489,Gridlock'd
778,2295,Mickey Rourke,John Gray,Male,18167,Another 9 1/2 Weeks
780,58198,Chris Farley,Haru,Male,9622,Beverly Hills Ninja
781,7447,Alec Baldwin,Robert Green,Male,9433,The Edge
782,23880,Steven Seagal,Jack Taggart,Male,14289,Fire Down Below
784,1243,Woody Allen,Harry Block,Male,2639,Deconstructing Harry
785,16857,Tom Everett Scott,Andy McDermott,Male,9406,An American Werewolf in Paris
786,880,Ben Affleck,Holden McNeil,Male,2255,Chasing Amy
787,14408,Matthew Perry,Alex Whitman,Male,1968,Fools Rush In
788,5472,Colin Firth,Paul Ashworth,Male,1610,Fever Pitch
789,1269,Kevin Costner,The Postman,Male,9922,The Postman
790,12898,Tim Allen,Brad,Male,10371,For Richer or Poorer
791,2176,Tommy Lee Jones,Mike Roark,Male,10357,Volcano
792,66,Chris Tucker,Franklin Hatchett,Male,9416,Money Talks
793,4810,Rosie Perez,Perdita Durango,Female,9845,Dance with the Devil
794,50096,Johnny Yong Bosch,Adam Park / Green Ranger,Male,6499,Turbo: A Power Rangers Movie
795,25503,Mandy Patinkin,Quasimodo,Male,148636,The Hunchback
796,2461,Mel Gibson,Jerry Fletcher,Male,8834,Conspiracy Theory
797,2464,Angus Macfadyen,Komodo,Male,49478,Warriors of Virtue
798,31,Tom Hanks,Captain John H. Miller,Male,857,Saving Private Ryan
799,776,Eddie Murphy,Dr. John Dolittle,Male,3050,Doctor Dolittle
800,21290,Dave Foley,Flik (voice),Male,9487,A Bug's Life
801,62,Bruce Willis,Harry S. Stamper,Male,95,Armageddon
802,4756,Matthew Broderick,Simba (voice),Male,9732,The Lion King 2: Simba's Pride
803,7399,Ben Stiller,Ted Stroehmann,Male,544,There's Something About Mary
804,21702,Ming-Na Wen,Mulan (voice),Female,10674,Mulan
805,10814,Wesley Snipes,Blade,Male,36647,Blade
806,206,Jim Carrey,Truman Burbank,Male,37165,The Truman Show
807,147,Michael Madsen,Press Lenox,Male,10216,Species II
808,1229,Jeff Bridges,"Jeffrey ""The Dude"" Lebowski",Male,115,The Big Lebowski
809,5576,Val Kilmer,Moses/God,Male,9837,The Prince of Egypt
810,64,Gary Oldman,Dr. Zachary Smith,Male,2157,Lost in Space
811,819,Edward Norton,Derek Vinyard,Male,73,American History X
812,3,Harrison Ford,Quinn Harris,Male,6068,Six Days Seven Nights
813,17328,Rufus Sewell,John Murdoch,Male,2666,Dark City
814,2157,Robin Williams,Chris Nielsen,Male,12159,What Dreams May Come
815,2461,Mel Gibson,Martin Riggs,Male,944,Lethal Weapon 4
817,49265,Lindsay Lohan,Hallie Parker / Annie James,Female,9820,The Parent Trap
818,1243,Woody Allen,Z-4195 aka Z (voice),Male,8916,Antz
819,3087,Robert Duvall,Capt. Spurgeon 'Fish' Tanner,Male,8656,Deep Impact
820,18897,Jackie Chan,Chief Inspector Lee,Male,2109,Rush Hour
821,6120,Bodil Jørgensen,Karen,Female,452,The Idiots
822,18897,Jackie Chan,Lee / Who am I,Male,8697,Who Am I?
823,3131,Antonio Banderas,Alejandro Murrieta / Zorro,Male,9342,The Mask of Zorro
824,13472,Tim Curry,Gomez Addams,Male,11508,Addams Family Reunion
825,1892,Matt Damon,Mike McDermott,Male,10220,Rounders
826,2876,Matt Dillon,Sam Lombardo,Male,617,Wild Things
827,2176,Tommy Lee Jones,Marshal Samuel Gerard,Male,11808,U.S. Marshals
828,380,Robert De Niro,Sam,Male,8195,Ronin
829,65529,Irene Bedard,Pocahontas (voice),Female,13761,Pocahontas II: Journey to a New World
830,31,Tom Hanks,Joe Fox,Male,9489,You've Got Mail
831,19292,Adam Sandler,Bobby Boucher,Male,10663,The Waterboy
832,2888,Will Smith,Robert Clayton Dean,Male,9798,Enemy of the State
833,20666,Samy Naceri,Daniel Morales,Male,2330,Taxi
834,21908,Aaron Kwok,Striding Cloud,Male,2137,The Storm Riders
835,287,Brad Pitt,Death / Joe Black,Male,297,Meet Joe Black
836,1471,Ed Gale,Chucky,Male,11932,Bride of Chucky
837,2505,James Cromwell,Farmer Arthur Hoggett,Male,9447,Babe: Pig in the City
838,6193,Leonardo DiCaprio,King Louis XIV / Philippe,Male,9313,The Man in the Iron Mask
840,85,Johnny Depp,Raoul Duke,Male,1878,Fear and Loathing in Las Vegas
841,12763,Joseph Fiennes,Will Shakespeare,Male,1934,Shakespeare in Love
842,6885,Charlize Theron,Jill Young,Female,9822,Mighty Joe Young
843,35742,Shah Rukh Khan,Rahul Khanna,Male,11854,Kuch Kuch Hota Hai
844,62,Bruce Willis,Art Jeffries,Male,8838,Mercury Rising
845,2231,Samuel L. Jackson,Lt. Danny Roman,Male,9631,The Negotiator
846,679,Franka Potente,Lola,Female,104,Run Lola Run
847,12640,David Duchovny,Agent Fox Mulder,Male,846,The X Files
848,192,Morgan Freeman,Jim,Male,11258,Hard Rain
850,82540,Arata Iura,Takashi Mochizuki,Male,17962,After Life
851,7523,Jessalyn Gilsig,Kayley (voice),Female,18937,Quest for Camelot
852,4756,Matthew Broderick,Dr. Niko Tatopoulos,Male,929,Godzilla
853,33259,Jennifer Love Hewitt,Julie James,Female,3600,I Still Know What You Did Last Summer
854,34199,Thomas Dekker,Littlefoot,Male,17337,The Land Before Time VI: The Secret of Saurus Rock
856,15048,Robby Benson,Beast (voice),Male,20235,Belle's Magical World
858,5469,Ralph Fiennes,John Steed,Male,9320,The Avengers
859,28781,Christian Clavier,Jacquouille la Fripouille / Jacques-Henri Jacquard / Prosper le Purineur / Jacouillet,Male,10353,The Visitors II: The Corridors of Time
860,20814,Gregory Smith,Alan Abernathy,Male,11551,Small Soldiers
861,1749,Leonard Nimoy,Mustapha Mond,Male,27260,Brave New World
862,6856,Kurt Russell,Todd,Male,9425,Soldier
863,10871,Natasha Lyonne,Vivian Abromowitz,Female,14662,Slums of Beverly Hills
864,5444,Philippe Nahon,le boucher,Male,1567,I Stand Alone
865,4135,Robert Redford,Tom Booker,Male,547,The Horse Whisperer
866,34517,Trey Parker,Joe Cooper,Male,14013,BASEketball
867,4512,James Woods,Jack Crow,Male,9945,Vampires
868,707,Dan Aykroyd,Elwood Blues,Male,11568,Blues Brothers 2000
869,9260,Michelle Nicastro,Princess Odette (voice),Female,28302,The Swan Princess: The Mystery of the Enchanted Kingdom
870,2232,Michael Keaton,Jack Frost,Male,9745,Jack Frost
871,2219,Tobey Maguire,David,Male,2657,Pleasantville
872,8944,Jamie Lee Curtis,Laurie Strode / Keri Tate,Female,11675,Halloween H20: 20 Years Later
873,5292,Denzel Washington,Anthony 'Hub' Hubbard,Male,9882,The Siege
874,1461,George Clooney,Jack Foley,Male,1389,Out of Sight
875,4515,Treat Williams,John Finnegan,Male,9457,Deep Rising
877,14702,Cathy Moriarty,Geri,Female,39345,Casper Meets Wendy
878,3129,Tim Roth,Danny Boodmann T.D. Lemon Nineteen Hundred '1900',Male,10376,The Legend of 1900
879,1619,Chow Yun-Fat,John Lee,Male,11702,The Replacement Killers
880,69597,Drew Barrymore,Danielle De Barbarac,Female,9454,EverAfter
881,2157,Robin Williams,Hunter 'Patch' Adams,Male,10312,Patch Adams
882,3061,Ewan McGregor,Curt Wild,Male,1808,Velvet Goldmine
883,3293,Rachel Weisz,Helen,Female,35113,I Want You
884,2228,Sean Penn,1st Sgt. Edward Welsh,Male,8741,The Thin Red Line
885,2387,Patrick Stewart,Captain Jean-Luc Picard,Male,200,Star Trek: Insurrection
886,2395,Whoopi Goldberg,Ranger Margaret (voice),Female,14444,The Rugrats Movie
887,11155,Thomas Jane,Casey Wells,Male,9812,Thursday
888,12052,Gwyneth Paltrow,Estella,Female,9410,Great Expectations
889,22123,Jordana Brewster,Delilah Profitt,Female,9276,The Faculty
890,68470,Minami Takayama,Conan Edogawa,Female,21452,Detective Conan: The Fourteenth Target
891,26457,Matthew Lillard,Stevo,Male,6396,SLC Punk
892,880,Ben Affleck,Sheriff Bryce Hammond,Male,9827,Phantoms
893,973,Jason Flemyng,Tom,Male,100,"Lock, Stock and Two Smoking Barrels"
894,96974,Carlo Cecchi,Nicolo Bussotti (Cremona),Male,14283,The Red Violin
895,18277,Sandra Bullock,Sally Owens,Female,6435,Practical Magic
896,3392,Michael Douglas,Steven Taylor,Male,1965,A Perfect Murder
898,819,Edward Norton,The Narrator,Male,550,Fight Club
899,6384,Keanu Reeves,Thomas Anderson / Neo,Male,603,The Matrix
900,21593,Jason Biggs,Jim Levenstein,Male,2105,American Pie
901,31,Tom Hanks,Paul Edgecomb,Male,497,The Green Mile
902,31,Tom Hanks,Woody (voice),Male,863,Toy Story 2
903,1979,Kevin Spacey,Lester Burnham,Male,14,American Beauty
904,3896,Liam Neeson,Qui-Gon Jinn,Male,1893,Star Wars: Episode I - The Phantom Menace
905,1810,Heath Ledger,Patrick Verona,Male,4951,10 Things I Hate About You
906,3417,Tony Goldwyn,Tarzan,Male,37135,Tarzan
907,18269,Brendan Fraser,Richard O'Connell,Male,564,The Mummy
908,517,Pierce Brosnan,James Bond,Male,36643,The World Is Not Enough
909,500,Tom Cruise,Dr. William 'Bill' Harford,Male,345,Eyes Wide Shut
910,62,Bruce Willis,Malcolm Crowe,Male,745,The Sixth Sense
911,12073,Mike Myers,Austin Powers / Dr. Evil / Fat Bastard,Male,817,Austin Powers: The Spy Who Shagged Me
912,12898,Tim Allen,Jason Nesmith,Male,926,Galaxy Quest
914,18897,Jackie Chan,C.N. Chan,Male,10951,Gorgeous
915,5293,Willem Dafoe,Paul Smecker,Male,8374,The Boondock Saints
916,1100,Arnold Schwarzenegger,Jericho Cane,Male,9946,End of Days
917,11155,Thomas Jane,Carter Blake,Male,8914,Deep Blue Sea
918,60949,Rob Schneider,Deuce Bigalow,Male,10402,Deuce Bigalow: Male Gigolo
919,26851,Heather Donahue,Heather,Female,2667,The Blair Witch Project
920,4756,Matthew Broderick,Inspector Gadget / Robo Gadget / John Brown,Male,332,Inspector Gadget
921,116027,Eli Marienthal,Hogarth Hughes (voice),Male,10386,The Iron Giant
922,11863,Sarah Michelle Gellar,Kathryn Merteuil,Female,796,Cruel Intentions
