,genre,movie id,title
769,Science Fiction,11158,Honey I Blew Up the Kid
770,Drama,48150,A Heart in Winter
771,Romance,48150,A Heart in Winter
772,Crime,13199,American Me
773,Drama,13199,American Me
774,Romance,13199,American Me
775,Drama,15802,Tokyo Decadence
776,Action,10206,Buffy the Vampire Slayer
777,Comedy,10206,Buffy the Vampire Slayer
778,Horror,10206,Buffy the Vampire Slayer
779,Drama,10699,Hero
780,Comedy,10699,Hero
781,Thriller,10699,Hero
782,Mystery,10699,Hero
783,Comedy,10406,Encino Man
784,Family,10406,Encino Man
785,Science Fiction,17991,Tetsuo II: Body Hammer
786,Horror,17991,Tetsuo II: Body Hammer
787,Drama,17991,Tetsuo II: Body Hammer
788,Thriller,17991,Tetsuo II: Body Hammer
789,Adventure,42001,The Princess and the Goblin
790,Animation,42001,The Princess and the Goblin
791,Family,42001,The Princess and the Goblin
792,Fantasy,42001,The Princess and the Goblin
793,Crime,12143,Bad Lieutenant
794,Drama,12143,Bad Lieutenant
795,Drama,10435,Chaplin
796,Action,12088,Fortress
797,Thriller,12088,Fortress
798,Science Fiction,12088,Fortress
799,Adventure,11259,Far and Away
800,Drama,11259,Far and Away
801,Romance,11259,Far and Away
802,Western,11259,Far and Away
803,Comedy,18764,Twin Dragons
804,Action,18764,Twin Dragons
805,Music,8872,Wayne's World
806,Comedy,8872,Wayne's World
807,Thriller,9605,Single White Female
808,Drama,9605,Single White Female
809,Action,40213,New Dragon Gate Inn
810,Action,20811,The Master
811,Action,16136,Juice
812,Crime,16136,Juice
813,Drama,16136,Juice
814,Thriller,16136,Juice
815,Action,39027,Kickboxer 3: The Art of War
816,Thriller,39027,Kickboxer 3: The Art of War
817,Fantasy,55694,Miracle Beach
818,Comedy,55694,Miracle Beach
819,Science Fiction,55694,Miracle Beach
820,Romance,55694,Miracle Beach
821,Fantasy,1877,Doctor Mordrid
822,Action,1877,Doctor Mordrid
823,Thriller,1877,Doctor Mordrid
824,Science Fiction,1877,Doctor Mordrid
825,Romance,28384,Husbands and Wives
826,Comedy,28384,Husbands and Wives
827,Drama,28384,Husbands and Wives
828,Comedy,10086,Man Bites Dog
829,Crime,10086,Man Bites Dog
830,Drama,10086,Man Bites Dog
831,Horror,10086,Man Bites Dog
832,Horror,10906,Pet Sematary II
833,Drama,2007,Lorenzo's Oil
834,Drama,424,Schindler's List
835,History,424,Schindler's List
836,War,424,Schindler's List
837,Fantasy,9479,The Nightmare Before Christmas
838,Animation,9479,The Nightmare Before Christmas
839,Family,9479,The Nightmare Before Christmas
840,Comedy,2758,Addams Family Values
841,Family,2758,Addams Family Values
842,Fantasy,2758,Addams Family Values
843,Action,9255,Hot Shots! Part Deux
844,Comedy,9255,Hot Shots! Part Deux
845,War,9255,Hot Shots! Part Deux
846,Adventure,329,Jurassic Park
847,Science Fiction,329,Jurassic Park
848,Action,9350,Cliffhanger
849,Adventure,9350,Cliffhanger
850,Thriller,9350,Cliffhanger
851,Crime,9739,Demolition Man
852,Action,9739,Demolition Man
853,Science Fiction,9739,Demolition Man
854,Romance,137,Groundhog Day
855,Fantasy,137,Groundhog Day
856,Drama,137,Groundhog Day
857,Comedy,137,Groundhog Day
858,Animation,34433,Dragon Ball Z: Broly - The Legendary Super Saiyan
859,Adventure,34433,Dragon Ball Z: Broly - The Legendary Super Saiyan
860,Family,34433,Dragon Ball Z: Broly - The Legendary Super Saiyan
861,Romance,1587,What's Eating Gilbert Grape
862,Drama,1587,What's Eating Gilbert Grape
863,Comedy,788,Mrs. Doubtfire
